,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
88,26222,Daniel Lane,"Roche Ecrite trail, Reunion NP ",Hypsipetes,borbonicus,-20.9623,55.4403,1400,"call, song",C,1:52,unknown,https://xeno-canto.org/26222/download,Reunion Bulbul
89,400983,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Hypsipetes,borbonicus,-21.3615,55.7438,110,call,D,0:04,yes,https://xeno-canto.org/400983/download,Reunion Bulbul
90,400806,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Phedina,borbonica,-21.2854,55.3882,10,flight call,C,0:03,yes,https://xeno-canto.org/400806/download,Mascarene Martin
91,400807,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Phedina,borbonica,-21.2854,55.3882,10,flight call,D,0:21,yes,https://xeno-canto.org/400807/download,Mascarene Martin
92,34778,Frank Lambert,Reunion Island,Zosterops,olivaceus,,,?,call,no score,0:02,unknown,https://xeno-canto.org/34778/download,Reunion Olive White-eye
93,463227,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Zosterops,olivaceus,-20.9699,55.4407,1500,"call, song",A,0:08,yes,https://xeno-canto.org/463227/download,Reunion Olive White-eye
94,463226,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Zosterops,olivaceus,-20.9699,55.4407,1500,call,A,0:18,yes,https://xeno-canto.org/463226/download,Reunion Olive White-eye
95,203727,Cedric Mroczko,"Cilaos, Ile de la Réunion",Zosterops,olivaceus,-21.1311,55.4721,1200,call,A,0:54,yes,https://xeno-canto.org/203727/download,Reunion Olive White-eye
96,155400,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Zosterops,olivaceus,-20.9699,55.4407,1500,song,A,0:13,yes,https://xeno-canto.org/155400/download,Reunion Olive White-eye
97,155399,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Zosterops,olivaceus,-20.9699,55.4407,1500,song,A,0:25,yes,https://xeno-canto.org/155399/download,Reunion Olive White-eye
98,462925,Cedric Mroczko,"Cilaos, Reunion Island",Zosterops,olivaceus,-21.1133,55.4926,2200,call,B,0:18,yes,https://xeno-canto.org/462925/download,Reunion Olive White-eye
99,462867,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Zosterops,olivaceus,-21.126,55.482,1400,call,B,0:07,yes,https://xeno-canto.org/462867/download,Reunion Olive White-eye
100,462815,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island, France",Zosterops,olivaceus,-21.3588,55.7461,120,call,B,0:06,yes,https://xeno-canto.org/462815/download,Reunion Olive White-eye
101,26320,Daniel Lane,"Roche Ecrite trail, Reunion NP ",Zosterops,olivaceus,-20.9623,55.4403,1400,call,B,0:38,unknown,https://xeno-canto.org/26320/download,Reunion Olive White-eye
102,462927,Cedric Mroczko,"Cilaos, Reunion Island",Zosterops,olivaceus,-21.1133,55.4926,2200,call,C,0:21,yes,https://xeno-canto.org/462927/download,Reunion Olive White-eye
103,462924,Cedric Mroczko,"Cilaos, Reunion Island",Zosterops,olivaceus,-21.1133,55.4926,2200,call,C,0:25,yes,https://xeno-canto.org/462924/download,Reunion Olive White-eye
104,462922,Cedric Mroczko,"Cilaos, Reunion Island",Zosterops,olivaceus,-21.1133,55.4926,2200,call,C,0:30,yes,https://xeno-canto.org/462922/download,Reunion Olive White-eye
105,462866,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Zosterops,olivaceus,-21.126,55.482,1400,"begging call, call",C,0:27,yes,https://xeno-canto.org/462866/download,Reunion Olive White-eye
106,401676,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Zosterops,olivaceus,-21.3554,55.7397,200,call,C,0:04,yes,https://xeno-canto.org/401676/download,Reunion Olive White-eye
107,401675,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Zosterops,olivaceus,-21.3554,55.7397,200,call,C,0:19,yes,https://xeno-canto.org/401675/download,Reunion Olive White-eye
108,401674,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Zosterops,olivaceus,-21.3554,55.7397,200,call,C,0:22,yes,https://xeno-canto.org/401674/download,Reunion Olive White-eye
109,463222,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Zosterops,borbonicus,-20.9699,55.4407,1500,call,A,0:14,yes,https://xeno-canto.org/463222/download,Reunion Grey White-eye
110,463221,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Zosterops,borbonicus,-20.9699,55.4407,1500,call,A,0:51,yes,https://xeno-canto.org/463221/download,Reunion Grey White-eye
111,155364,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Zosterops,borbonicus,-20.9699,55.4407,1500,song,A,0:11,yes,https://xeno-canto.org/155364/download,Reunion Grey White-eye
