,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
171,761339,Antonio Xeira,"Ponta do Ouro, Matutuíne",Andropadus,importunus,-26.8452,32.8925,0,song,B,0:13,no,https://xeno-canto.org/761339/download,Sombre Greenbul
172,521829,Lynette Rudman,"Beira, Sofala Province",Andropadus,importunus,-19.718,34.7114,10,song,B,0:41,yes,https://xeno-canto.org/521829/download,Sombre Greenbul
173,201449,Niall Perrins,"Matutuíne District, Maputo",Andropadus,importunus,-26.1856,32.8951,30,song,B,0:56,yes,https://xeno-canto.org/201449/download,Sombre Greenbul
174,59737,Bram Piot,Inhaca island,Andropadus,importunus,-26.023,32.907,10,song,B,0:39,unknown,https://xeno-canto.org/59737/download,Sombre Greenbul
175,100468,Rory Nefdt,"Caia, Sofala",Andropadus,importunus,-17.843,35.327,30,song,C,0:34,unknown,https://xeno-canto.org/100468/download,Sombre Greenbul
176,100467,Rory Nefdt,"Caia, Sofala",Andropadus,importunus,-17.843,35.327,30,song,C,0:31,unknown,https://xeno-canto.org/100467/download,Sombre Greenbul
177,652425,Niall Perrins,"San Sebastian, Vilanculos, Inhambane",Chlorocichla,flaviventris,-22.1628,35.4607,10,call,B,0:35,unknown,https://xeno-canto.org/652425/download,Yellow-bellied Greenbul
178,430249,Alan Collett,"Cheringoma, Sofala",Chlorocichla,flaviventris,-17.9694,35.2911,50,call,B,0:18,yes,https://xeno-canto.org/430249/download,Yellow-bellied Greenbul
179,104014,Bram Piot,Inhaca island,Phyllastrephus,terrestris,-26.023,32.907,20,call,B,0:59,unknown,https://xeno-canto.org/104014/download,Terrestrial Brownbul
180,59752,Bram Piot,Inhaca island,Phyllastrephus,terrestris,-26.023,32.907,10,call,C,0:38,unknown,https://xeno-canto.org/59752/download,Terrestrial Brownbul
181,104016,Bram Piot,Inhaca island,Phyllastrephus,terrestris,-26.023,32.907,20,call,D,0:37,unknown,https://xeno-canto.org/104016/download,Terrestrial Brownbul
