,biotope,species,PC1_barycenter,PC2_barycenter,PC3_barycenter
15,Wetlands,pusilla,-0.4478267179790771,-1.3940714563377354,-0.30377057296049825
16,Wetlands,cinerea,3.44580854123077,-2.239141501980533,1.6878710233654017
17,Woodlands,klaas,-0.4281864708384764,1.4444293771080918,1.3187613053735001
18,Woodlands,olivaceus,18.363412287711252,-4.647104692136116,6.161819676088542
19,Woodlands,hagedash,5.684577176458968,-0.6169979463654466,7.063674537509864
20,Woodlands,caprius,1.6203818124341083,0.5075168274674166,0.928236589768149
21,Woodlands,afer,4.598455807872255,-1.9852664967908296,-0.5802166366681103
22,Woodlands,cryptoxanthus,1.3215903470334773,1.3823729502443405,0.5184329505772396
23,Woodlands,collaris,2.70270990367518,2.7376737705338203,0.27281556323632855
24,Woodlands,barbatus,0.516354981970558,0.6461332506650811,-0.24248758523593267
25,Woodlands,splendens,-0.6219462151748077,-0.1371846984869646,3.0789016931605335
26,Woodlands,spelndens,9.11752305267784,-3.437316462014878,3.8118820514927485
27,Woodlands,chelicuti,-1.0664433001766171,0.6504425915536721,-0.31103138022984816
28,Woodlands,natalensis,-0.1636986266578079,1.120149463895187,3.1077212826662994
29,Woodlands,viridis,-2.050128430845278,-0.1375794909892893,1.2522298726870753
30,Woodlands,libonyana,0.4139250691184044,0.9069681298402975,0.9726265200542031
31,Woodlands,humeralis,0.5550995742146498,1.2684361675420295,-0.0872487636085257
32,Woodlands,capicola,-2.224409155642721,-0.29511535481471446,1.7451010051941864
33,Woodlands,ruddi,-0.6028840950339514,0.22999419909885258,0.41762147990849613
34,Woodlands,africana,-2.849124730982576,-0.4595293000632982,1.4919238940575588
35,Woodlands,pectoralis,-0.3515991085972964,1.0598874363844002,4.783051804605154
36,Woodlands,grillii,-2.6156392232777406,-0.49951831668125124,0.7187320355428075
37,Woodlands,senegalensis,0.6252738593732283,0.9025742180127518,-0.6636129319443993
38,Woodlands,chiniana,3.2618068331441306,-1.3432020514915226,0.2381142486217822
39,Woodlands,capensis,2.460435851060853,0.4537110317748562,7.9183397813302285
40,Woodlands,calvus,-0.13587567981891813,-0.2531770393969185,3.710807681318618
